symbol,value
alpha,0.2
L,3.0
S,142
L_m,0.01
k_p,0.0
V_c,370
V_b,10200
Q_l,200
Q_r,36
v,0.0
D_m,0.25
D,0.46
tau_v,1.0
mu_D,0.46
tau_D,0.5
overline_D_m,1.0
overline_o_bm_Cserr,20.0
overline_o_c_Cserr,4.0
Deltar,0.01
T_max,4.5
D_lower,0.01
D_upper,20
v_truncation,2
