symbol,value
alpha,0.2
L,2.0
S,52
L_m,0.01
k_p,0.0
V_c,36
V_b,1490
Q_l,20
Q_r,3.6
v,0.0
D_m,0.25
D,0.46
tau_v,1.0
mu_D,0.46
tau_D,0.5
overline_D_m,1.0
overline_o_bm_Pla,1.0
overline_o_bl,0.01
Deltar,0.01
T_max,4.5
