time (h),c_v,c_c,parenchyma 1,parenchyma 2,parenchyma 3,parenchyma 4,parenchyma 5,parenchyma 6,parenchyma 7
0.0,262.05261405988244,42.09411270387812,112.33363709285763,185.41244904752287,210.64586186762997,239.52166060057075,206.12084536093724,188.46686929427747,153.07297322368885
0.09999999999999998,271.26771400040377,69.1650887541676,120.09969496723217,179.52460724984857,205.42101615746017,229.41301655034675,202.16333167811678,183.09196274125688,148.5970675382928
0.19999999999999996,275.9305136446232,71.65909996234836,122.66628105577354,184.69079281235847,197.95889969933262,218.66456763378602,205.62018782160766,186.82574934928158,163.87053296154625
0.30000000000000004,292.4249286528902,28.9047195499266,131.55888660311362,178.08265896900016,186.2432404411243,212.49979537157796,205.1904681352621,184.6676015911906,162.05616095253168
0.3999999999999999,285.94912118913663,37.26215356408143,121.25898318772886,156.27881850277478,177.476958839675,186.15456812489427,178.53556987651356,170.38317354127219,156.31565161874724
0.5,263.51638937241825,55.93449707790613,113.84529545615766,154.02381329157095,168.55925220589438,180.4863608335743,169.4759875367649,173.50443907256943,161.57187368696762
0.5999999999999999,267.27745977005225,52.991258273809194,106.90893762380018,145.33256211154705,161.17489454815316,182.24070850544857,166.5907267855876,164.69586759722577,159.65928003535979
0.7,255.21666057328696,62.261062212497066,105.38936696151349,141.49509710300723,154.63906274725932,176.13868895934172,170.77196754320389,168.11725481422468,155.43165683540778
0.8,239.78494917029994,49.75471873141292,87.01127911862447,122.73108005609548,144.95058905701765,165.75993539198618,155.95414140642478,160.12856121663873,158.25689324944477
0.8999999999999999,230.52755935588428,65.11712930879247,89.38933422096595,124.65663350776768,136.72861905827273,157.4642991612963,161.40817094931217,169.5305551159834,159.1340670853819
1.0,247.21432508089643,57.93794574891273,80.86451415755842,111.90446308230428,130.72509399265522,151.17402146688568,147.47570378535298,153.09070768693488,153.15755297147751
1.0999999999999999,215.60878319755102,99.49102090483959,75.31349074261018,107.88433310233059,113.94624547771187,143.6505164821373,143.85241652524567,149.75253602824418,136.63721836308176
1.2,215.07402092120986,98.68423924609432,77.03837192170643,108.65196252298658,112.56295734452333,142.75151561451278,146.95731178277737,150.59151255872834,156.48071854588315
1.3,213.69346116698227,71.43905619914985,80.99220229292968,110.14152101670314,106.78725192214297,138.99726616428114,145.51536350192896,145.06654516285693,145.5712952706279
1.4000000000000001,209.97468064324264,100.0,77.23290534162032,109.77782810121195,117.68821722261934,138.78036003688766,146.28613055839006,137.21563470279767,151.00349778182792
