time (h),m_br,c_b
0.0,20.0,0.0
0.25,,7.4484012e-5
0.5,,0.00021984117
0.75,,0.000346604555
1.0,,0.00043646353100000005
1.25,,0.000659818096
1.5,,0.0009534421050000001
1.75,,0.0011989923650000001
2.0,15.47619048,0.0015
